"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","choice","question_order"
"true","false","[]","[]","[]","preload","0","719","0.0-0.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","","","","",""
"","","","","","instructions","1","9793","0.0-1.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","[{""page_index"":0,""viewing_time"":9073}]","9073","","","",""
"","","","","","instructions","2","12528","0.0-2.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","[{""page_index"":0,""viewing_time"":2734}]","2734","","","",""
"true","","","","","fullscreen","3","16278","0.0-3.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","2736","","","",""
"","","","","","instructions","4","20690","0.0-4.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","[{""page_index"":0,""viewing_time"":4412}]","4412","","","",""
"","","","","","html-keyboard-response","5","27706","0.0-5.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","6","34711","0.0-6.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","7","41719","0.0-7.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","8","45904","0.0-8.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","4183","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","1",""
"","","","","","html-keyboard-response","9","52911","0.0-9.0-1.0-0.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_4/semantic_series_4_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","10","58695","0.0-10.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","5782","","{""Q0"":1}","","[0]"
"","","","","","survey-likert","11","63572","0.0-11.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","4876","","{""Q0"":3}","","[0]"
"","","","","","html-keyboard-response","12","70588","0.0-12.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","13","77603","0.0-13.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_5/causal_series_5_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","14","84605","0.0-14.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_5/causal_series_5_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","15","91606","0.0-15.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_5/causal_series_5_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","16","93251","0.0-16.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","1644","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","0",""
"","","","","","html-keyboard-response","17","100253","0.0-17.0-0.0-0.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_5/causal_series_5_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","18","102473","0.0-18.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","2219","","{""Q0"":2}","","[0]"
"","","","","","survey-likert","19","105560","0.0-19.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","3087","","{""Q0"":3}","","[0]"
"","","","","","html-keyboard-response","20","112570","0.0-20.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","21","119575","0.0-21.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","22","126586","0.0-22.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","23","133599","0.0-23.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","24","135949","0.0-24.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","2349","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","0",""
"","","","","","html-keyboard-response","25","142953","0.0-25.0-0.0-0.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","26","145871","0.0-26.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","2917","","{""Q0"":3}","","[0]"
"","","","","","survey-likert","27","147126","0.0-27.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","1254","","{""Q0"":3}","","[0]"
"","","","","","html-keyboard-response","28","154140","0.0-28.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","29","161145","0.0-29.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","30","168160","0.0-30.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","31","175166","0.0-31.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","32","181939","0.0-32.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","6772","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","1",""
"","","","","","html-keyboard-response","33","188956","0.0-33.0-1.0-0.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_6/semantic_series_6_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","34","209275","0.0-34.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","20318","","{""Q0"":3}","","[0]"
"","","","","","survey-likert","35","210412","0.0-35.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","1136","","{""Q0"":3}","","[0]"
"","","","","","html-keyboard-response","36","217418","0.0-36.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","37","224433","0.0-37.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","38","231435","0.0-38.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","39","238436","0.0-39.0","EF39775A5EFC446388D25D2217B5401F","0199d03e-7172-7334-a8e3-1aae591fa0fa","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
