"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","choice","question_order"
"true","false","[]","[]","[]","preload","0","5865","0.0-0.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","","","","",""
"","","","","","instructions","1","29834","0.0-1.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","[{""page_index"":0,""viewing_time"":23968}]","23968","","","",""
"","","","","","instructions","2","37795","0.0-2.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","[{""page_index"":0,""viewing_time"":7961}]","7961","","","",""
"true","","","","","fullscreen","3","41060","0.0-3.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","2253","","","",""
"","","","","","instructions","4","110735","0.0-4.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","[{""page_index"":0,""viewing_time"":69673}]","69674","","","",""
"","","","","","html-keyboard-response","5","117744","0.0-5.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","6","124752","0.0-6.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","7","131762","0.0-7.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","8","134161","0.0-8.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","2395","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","0",""
"","","","","","html-keyboard-response","9","141173","0.0-9.0-0.0-0.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","10","154658","0.0-10.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","13481","","{""Q0"":4}","","[0]"
"","","","","","survey-likert","11","160979","0.0-11.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","6319","","{""Q0"":4}","","[0]"
"","","","","","html-keyboard-response","12","167984","0.0-12.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","13","174989","0.0-13.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_5/causal_series_5_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","14","181993","0.0-14.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_5/causal_series_5_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","15","189001","0.0-15.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_5/causal_series_5_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","16","191209","0.0-16.0","B6473020623C47F4BB5E4977C8E2F543","0199d1a8-ebc1-7791-9cc9-36790df39042","0199d186-0eff-7474-b70b-510438a34121","","2207","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","1",""
